k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
11	coverage	0	20	0.169791518865594	0.169954954954955	0.169869546732534	0.169869546732534
11	coverage	0.001	20	0.169378167278808	0.169534534534535	0.169452865537372	0.169452865537372
11	coverage	0.01	20	0.169808140740861	0.16996996996997	0.169885951620745	0.169885951620745
11	mean	0	20	0.165500941700582	0.165645645645646	0.16557019664832	0.16557019664832
11	mean	0.001	20	0.165542633469299	0.165675675675676	0.165606644739283	0.165606644739283
11	mean	0.01	20	0.166373129625259	0.166516516516517	0.166442479704061	0.166442479704061
11	median	0	20	0.169626353700429	0.16978978978979	0.169704381567369	0.169704381567369
11	median	0.001	20	0.168368859495236	0.168498498498498	0.168431190624486	0.168431190624486
11	median	0.01	20	0.167059584114803	0.167222222222222	0.16713811746024	0.16713811746024
15	coverage	0	20	0.3054679239055	0.307837837837838	0.306573159457165	0.306573159457165
15	coverage	0.001	20	0.304649421848842	0.307087087087087	0.305787358761238	0.305787358761238
15	coverage	0.01	20	0.291576990884899	0.293708708708709	0.292576153458769	0.292576153458769
15	mean	0	20	0.297598309805962	0.29984984984985	0.29865000346408	0.29865000346408
15	mean	0.001	20	0.296714358684364	0.298978978978979	0.297774677878517	0.297774677878517
15	mean	0.01	20	0.283799829301302	0.285855855855856	0.284765472980346	0.284765472980346
15	median	0	20	0.302603354308871	0.304954954954955	0.303703251851289	0.303703251851289
15	median	0.001	20	0.304277982298681	0.306651651651652	0.305387950480321	0.305387950480321
15	median	0.01	20	0.286552714216469	0.288588588588589	0.287508113255998	0.287508113255998
19	coverage	0	20	0.329424036904213	0.332177177177177	0.330698867275097	0.330698867275097
19	coverage	0.001	20	0.328195660361392	0.330885885885886	0.329445638809451	0.329445638809451
19	coverage	0.01	20	0.308558990107541	0.311066066066066	0.309725535453162	0.309725535453162
19	mean	0	20	0.321852787626327	0.324474474474474	0.323066479323148	0.323066479323148
19	mean	0.001	20	0.320771030519307	0.323333333333333	0.321962331454301	0.321962331454301
19	mean	0.01	20	0.301869851255284	0.304294294294294	0.302998181667877	0.302998181667877
19	median	0	20	0.31361611920391	0.316171171171171	0.314800401325336	0.314800401325336
19	median	0.001	20	0.326910568347146	0.32957957957958	0.328151063225201	0.328151063225201
19	median	0.01	20	0.271154062875832	0.273048048048048	0.272045371343258	0.272045371343258
23	coverage	0	20	0.348053867192983	0.351066066066066	0.349441210460341	0.349441210460341
23	coverage	0.001	20	0.34560641911336	0.348633633633634	0.347005359537773	0.347005359537773
23	coverage	0.01	20	0.319799613865325	0.322492492492493	0.321048245987462	0.321048245987462
23	mean	0	20	0.340669166780163	0.343498498498499	0.341976258748778	0.341976258748778
23	mean	0.001	20	0.338401753522761	0.341276276276276	0.339732082150045	0.339732082150045
23	mean	0.01	20	0.313877978501275	0.316516516516517	0.3151029616455	0.3151029616455
23	median	0	20	0.315968876047035	0.318423423423423	0.317110184544256	0.317110184544256
23	median	0.001	20	0.340898963553367	0.343768768768769	0.342225911998692	0.342225911998692
23	median	0.01	20	0.306332077247824	0.308843843843844	0.307497409439765	0.307497409439765
27	coverage	0	20	0.360940991507743	0.364279279279279	0.362472025080163	0.362472025080163
27	coverage	0.001	20	0.357496240625088	0.360750750750751	0.358994436133636	0.358994436133636
27	coverage	0.01	20	0.323304426163413	0.326141141141141	0.324621427795838	0.324621427795838
27	mean	0	20	0.353244855121952	0.356396396396396	0.354692376225778	0.354692376225778
27	mean	0.001	20	0.349820935693504	0.352897897897898	0.351240523867806	0.351240523867806
27	mean	0.01	20	0.317393597811232	0.32006006006006	0.318634394809116	0.318634394809116
27	median	0	20	0.355721122241831	0.358903903903904	0.357181544673745	0.357181544673745
27	median	0.001	20	0.342420349884822	0.345435435435435	0.343809951323533	0.343809951323533
27	median	0.01	20	0.314579180780013	0.317222222222222	0.315809940210667	0.315809940210667
31	coverage	0	20	0.36876324965833	0.372282282282282	0.370374268248392	0.370374268248392
31	coverage	0.001	20	0.364529020663587	0.367927927927928	0.366095313197766	0.366095313197766
31	coverage	0.01	20	0.320926663985045	0.323753753753754	0.322237626475316	0.322237626475316
31	mean	0	20	0.361611629130273	0.36496996996997	0.363151350237661	0.363151350237661
31	mean	0.001	20	0.357822039896794	0.361036036036036	0.359304051902077	0.359304051902077
31	mean	0.01	20	0.315775582468737	0.318483483483483	0.317033585971928	0.317033585971928
31	median	0	20	0.36876324965833	0.372282282282282	0.370374268248392	0.370374268248392
31	median	0.001	20	0.329236186019564	0.331906906906907	0.330469063585609	0.330469063585609
31	median	0.01	20	0.314380180113266	0.317027027027027	0.315604595674554	0.315604595674554
35	coverage	0	20	0.395263195128995	0.399414414414414	0.397141939633523	0.397141939633523
35	coverage	0.001	20	0.390104072952958	0.394144144144144	0.391941057474881	0.391941057474881
