k	Error	AverageF1
11	0	0.805277777777778
11	0.001	0.805
11	0.01	0.799444444444444
15	0	0.986111111111111
15	0.001	0.986111111111111
15	0.01	0.981666666666667
19	0	0.990833333333333
19	0.001	0.990277777777778
19	0.01	0.982222222222222
23	0	0.993611111111111
23	0.001	0.993888888888889
23	0.01	0.980555555555556
27	0	0.995555555555556
27	0.001	0.995
27	0.01	0.978333333333333
31	0	0.996388888888889
31	0.001	0.996111111111111
31	0.01	0.97
35	0	0.996666666666667
35	0.001	0.996388888888889
35	0.01	0.960277777777778
39	0	0.996666666666667
39	0.001	0.996666666666667
39	0.01	0.945277777777778
43	0	0.996944444444444
43	0.001	0.996944444444444
43	0.01	0.926944444444444
47	0	0.996944444444444
47	0.001	0.996944444444444
47	0.01	0.905833333333333
51	0	0.9975
51	0.001	0.996944444444444
51	0.01	0.878055555555556
55	0	0.998333333333333
55	0.001	0.998333333333333
55	0.01	0.865
59	0	0.998333333333333
59	0.001	0.998333333333333
59	0.01	0.848888888888889
63	0	0.998611111111111
63	0.001	0.998888888888889
63	0.01	0.834444444444444
67	0	0.999444444444444
67	0.001	0.999166666666667
67	0.01	0.819444444444444
71	0	0.999444444444444
71	0.001	0.999166666666667
71	0.01	0.800833333333333
75	0	0.999722222222222
75	0.001	0.998888888888889
75	0.01	0.782222222222222
79	0	0.999722222222222
79	0.001	0.999166666666667
79	0.01	0.745555555555556
83	0	0.999722222222222
83	0.001	0.999722222222222
83	0.01	0.646388888888889
87	0	0.999722222222222
87	0.001	0.999444444444444
87	0.01	0.443055555555556
91	0	0.999722222222222
91	0.001	0.999444444444444
91	0.01	0.0297222222222222
95	0	0.999722222222222
95	0.001	0.999444444444444
95	0.01	0
99	0	0.999444444444444
99	0.001	0.998888888888889
99	0.01	0
