k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
11	coverage	0	20	0.831388888888889	0.831388888888889	0.831388888888889	0.831388888888889
11	coverage	0.001	20	0.83	0.83	0.83	0.83
11	coverage	0.01	20	0.828333333333333	0.828333333333333	0.828333333333333	0.828333333333333
11	mean	0	20	0.822777777777778	0.822777777777778	0.822777777777778	0.822777777777778
11	mean	0.001	20	0.819444444444444	0.819444444444444	0.819444444444444	0.819444444444444
11	mean	0.01	20	0.818611111111111	0.818611111111111	0.818611111111111	0.818611111111111
11	median	0	20	0.831111111111111	0.831111111111111	0.831111111111111	0.831111111111111
11	median	0.001	20	0.821666666666667	0.821666666666667	0.821666666666667	0.821666666666667
11	median	0.01	20	0.825555555555556	0.825555555555556	0.825555555555555	0.825555555555555
15	coverage	0	20	0.886666666666667	0.886666666666667	0.886666666666667	0.886666666666667
15	coverage	0.001	20	0.884444444444444	0.884444444444444	0.884444444444444	0.884444444444444
15	coverage	0.01	20	0.883055555555556	0.883055555555556	0.883055555555555	0.883055555555555
15	mean	0	20	0.878611111111111	0.878611111111111	0.878611111111111	0.878611111111111
15	mean	0.001	20	0.877777777777778	0.877777777777778	0.877777777777778	0.877777777777778
15	mean	0.01	20	0.873333333333333	0.873333333333333	0.873333333333333	0.873333333333333
15	median	0	20	0.883611111111111	0.883611111111111	0.883611111111111	0.883611111111111
15	median	0.001	20	0.885	0.885	0.885	0.885
15	median	0.01	20	0.871111111111111	0.871111111111111	0.871111111111111	0.871111111111111
19	coverage	0	20	0.904722222222222	0.904722222222222	0.904722222222222	0.904722222222222
19	coverage	0.001	20	0.904722222222222	0.904722222222222	0.904722222222222	0.904722222222222
19	coverage	0.01	20	0.899166666666667	0.899166666666667	0.899166666666667	0.899166666666667
19	mean	0	20	0.898888888888889	0.898888888888889	0.898888888888889	0.898888888888889
19	mean	0.001	20	0.899166666666667	0.899166666666667	0.899166666666667	0.899166666666667
19	mean	0.01	20	0.891944444444444	0.891944444444444	0.891944444444444	0.891944444444444
19	median	0	20	0.893333333333333	0.893333333333333	0.893333333333333	0.893333333333333
19	median	0.001	20	0.905	0.905	0.905	0.905
19	median	0.01	20	0.868055555555556	0.868055555555556	0.868055555555556	0.868055555555556
23	coverage	0	20	0.918611111111111	0.918611111111111	0.918611111111111	0.918611111111111
23	coverage	0.001	20	0.9175	0.9175	0.9175	0.9175
23	coverage	0.01	20	0.911111111111111	0.911111111111111	0.911111111111111	0.911111111111111
23	mean	0	20	0.910555555555556	0.910555555555556	0.910555555555556	0.910555555555556
23	mean	0.001	20	0.911388888888889	0.911388888888889	0.911388888888889	0.911388888888889
23	mean	0.01	20	0.901666666666667	0.901666666666667	0.901666666666667	0.901666666666667
23	median	0	20	0.895	0.895	0.895	0.895
23	median	0.001	20	0.912777777777778	0.912777777777778	0.912777777777778	0.912777777777778
23	median	0.01	20	0.900277777777778	0.900277777777778	0.900277777777778	0.900277777777778
27	coverage	0	20	0.926388888888889	0.926388888888889	0.926388888888889	0.926388888888889
27	coverage	0.001	20	0.928611111111111	0.928611111111111	0.928611111111111	0.928611111111111
27	coverage	0.01	20	0.919166666666667	0.919166666666667	0.919166666666667	0.919166666666667
27	mean	0	20	0.921666666666667	0.921666666666667	0.921666666666667	0.921666666666667
27	mean	0.001	20	0.921388888888889	0.921388888888889	0.921388888888889	0.921388888888889
27	mean	0.01	20	0.912222222222222	0.912222222222222	0.912222222222222	0.912222222222222
27	median	0	20	0.920833333333333	0.920833333333333	0.920833333333333	0.920833333333333
27	median	0.001	20	0.915	0.915	0.915	0.915
27	median	0.01	20	0.909444444444444	0.909444444444444	0.909444444444444	0.909444444444444
31	coverage	0	20	0.933055555555556	0.933055555555556	0.933055555555556	0.933055555555556
31	coverage	0.001	20	0.934722222222222	0.934722222222222	0.934722222222222	0.934722222222222
31	coverage	0.01	20	0.918055555555556	0.918055555555556	0.918055555555556	0.918055555555556
31	mean	0	20	0.9275	0.9275	0.9275	0.9275
31	mean	0.001	20	0.929722222222222	0.929722222222222	0.929722222222222	0.929722222222222
31	mean	0.01	20	0.913611111111111	0.913611111111111	0.913611111111111	0.913611111111111
31	median	0	20	0.933055555555556	0.933055555555556	0.933055555555556	0.933055555555556
31	median	0.001	20	0.905	0.905	0.905	0.905
31	median	0.01	20	0.912222222222222	0.912222222222222	0.912222222222222	0.912222222222222
35	coverage	0	20	0.941111111111111	0.941111111111111	0.941111111111111	0.941111111111111
