k	Error	AverageF1
11	0	0.876574074074074
11	0.001	0.875
11	0.01	0.862777777777778
15	0	0.895555555555556
15	0.001	0.893055555555556
15	0.01	0.883518518518518
19	0	0.910833333333333
19	0.001	0.908611111111111
19	0.01	0.8925
23	0	0.916111111111111
23	0.001	0.916388888888889
23	0.01	0.897222222222222
27	0	0.922777777777778
27	0.001	0.921111111111111
27	0.01	0.898611111111111
31	0	0.926666666666667
31	0.001	0.921944444444444
31	0.01	0.896388888888889
35	0	0.926388888888889
35	0.001	0.924166666666667
35	0.01	0.898055555555556
39	0	0.927685185185185
39	0.001	0.924444444444444
39	0.01	0.898888888888889
43	0	0.92962962962963
43	0.001	0.925
43	0.01	0.898888888888889
47	0	0.931111111111111
47	0.001	0.925555555555556
47	0.01	0.895277777777778
51	0	0.934074074074074
51	0.001	0.928888888888889
51	0.01	0.892777777777778
55	0	0.938611111111111
55	0.001	0.934722222222222
55	0.01	0.895462962962963
59	0	0.945555555555556
59	0.001	0.939722222222222
59	0.01	0.895555555555556
63	0	0.950833333333333
63	0.001	0.946388888888889
63	0.01	0.900555555555556
67	0	0.957777777777778
67	0.001	0.951944444444444
67	0.01	0.901944444444444
71	0	0.962222222222222
71	0.001	0.956944444444444
71	0.01	0.9025
75	0	0.966111111111111
75	0.001	0.960277777777778
75	0.01	0.904444444444444
79	0	0.968611111111111
79	0.001	0.965277777777778
79	0.01	0.906388888888889
83	0	0.9725
83	0.001	0.966666666666667
83	0.01	0.907777777777778
87	0	0.973888888888889
87	0.001	0.968611111111111
87	0.01	0.907777777777778
91	0	0.975
91	0.001	0.971388888888889
91	0.01	0.910833333333333
95	0	0.976388888888889
95	0.001	0.9725
95	0.01	0.911388888888889
99	0	0.975555555555556
99	0.001	0.972222222222222
99	0.01	0.906111111111111
