Model	Method	TwoCorrect	OneCorrect	Top10	PRDM9List	Corrected	Truth
count	coverage	1	30	14	36	F	T
count	flank mean	1	28	11	36	F	T
count	flank median	1	27	10	36	F	T
distance	geomean	13	40	36	36	F	T
distance	max	27	42	42	36	F	T
distance	mean	19	40	43	36	F	T
distance	sum	10	27	33	36	F	T
combined	coverage & geomean	2	29	11	36	F	T
combined	coverage & max	2	29	14	36	F	T
combined	coverage & mean	1	30	14	36	F	T
combined	coverage & sum	2	29	14	36	F	T
combined	flank mean & geomean	2	28	8	36	F	T
combined	flank mean & max	1	30	11	36	F	T
combined	flank mean & mean	1	28	11	36	F	T
combined	flank mean & sum	1	31	10	36	F	T
combined	flank median & geomean	2	28	7	36	F	T
combined	flank median & max	1	29	10	36	F	T
combined	flank median & mean	1	28	10	36	F	T
combined	flank median & sum	1	30	11	36	F	T
count	coverage	25	37	42	36	T	T
count	flank mean	22	39	38	36	T	T
count	flank median	24	40	39	36	T	T
distance	geomean	7	31	26	36	T	T
distance	max	17	39	34	36	T	T
distance	mean	11	33	34	36	T	T
distance	sum	5	24	23	36	T	T
combined	coverage & geomean	23	41	42	36	T	T
combined	coverage & max	24	40	42	36	T	T
combined	coverage & mean	25	40	42	36	T	T
combined	coverage & sum	24	40	42	36	T	T
combined	flank mean & geomean	21	40	38	36	T	T
combined	flank mean & max	21	41	40	36	T	T
combined	flank mean & mean	21	41	40	36	T	T
combined	flank mean & sum	20	38	39	36	T	T
combined	flank median & geomean	21	41	39	36	T	T
combined	flank median & max	21	42	40	36	T	T
combined	flank median & mean	21	41	40	36	T	T
combined	flank median & sum	20	40	39	36	T	T
count	coverage	1	36	18	36	F	F
count	flank mean	1	34	14	36	F	F
count	flank median	1	33	13	36	F	F
distance	geomean	15	47	40	36	F	F
distance	max	32	49	47	36	F	F
distance	mean	22	47	48	36	F	F
distance	sum	14	33	39	36	F	F
combined	coverage & geomean	2	35	13	36	F	F
combined	coverage & max	2	35	18	36	F	F
combined	coverage & mean	1	36	18	36	F	F
combined	coverage & sum	2	35	18	36	F	F
combined	flank mean & geomean	2	35	10	36	F	F
combined	flank mean & max	1	36	14	36	F	F
combined	flank mean & mean	1	34	14	36	F	F
combined	flank mean & sum	1	37	14	36	F	F
combined	flank median & geomean	2	35	9	36	F	F
combined	flank median & max	1	36	13	36	F	F
combined	flank median & mean	1	35	13	36	F	F
combined	flank median & sum	1	37	14	36	F	F
count	coverage	27	43	48	36	T	F
count	flank mean	24	45	43	36	T	F
count	flank median	26	46	44	36	T	F
distance	geomean	10	38	32	36	T	F
distance	max	19	46	39	36	T	F
distance	mean	12	40	39	36	T	F
distance	sum	8	30	29	36	T	F
combined	coverage & geomean	25	47	47	36	T	F
combined	coverage & max	26	46	48	36	T	F
combined	coverage & mean	27	46	48	36	T	F
combined	coverage & sum	26	46	48	36	T	F
combined	flank mean & geomean	23	46	43	36	T	F
combined	flank mean & max	23	47	45	36	T	F
combined	flank mean & mean	23	47	45	36	T	F
combined	flank mean & sum	22	44	44	36	T	F
combined	flank median & geomean	23	47	43	36	T	F
combined	flank median & max	23	48	45	36	T	F
combined	flank median & mean	23	47	45	36	T	F
combined	flank median & sum	22	46	44	36	T	F
count	coverage	0	21	6	106	F	T
count	flank mean	0	17	0	106	F	T
count	flank median	0	18	0	106	F	T
distance	geomean	5	29	14	106	F	T
distance	max	13	38	30	106	F	T
distance	mean	9	34	25	106	F	T
distance	sum	6	29	20	106	F	T
combined	coverage & geomean	0	18	1	106	F	T
combined	coverage & max	0	21	7	106	F	T
combined	coverage & mean	0	21	4	106	F	T
combined	coverage & sum	0	21	8	106	F	T
combined	flank mean & geomean	0	18	0	106	F	T
combined	flank mean & max	0	20	1	106	F	T
combined	flank mean & mean	0	20	1	106	F	T
combined	flank mean & sum	0	21	2	106	F	T
combined	flank median & geomean	0	18	0	106	F	T
combined	flank median & max	0	21	1	106	F	T
combined	flank median & mean	0	20	1	106	F	T
combined	flank median & sum	0	20	1	106	F	T
count	coverage	17	38	39	106	T	T
count	flank mean	16	39	34	106	T	T
count	flank median	18	39	35	106	T	T
distance	geomean	6	26	18	106	T	T
distance	max	7	32	28	106	T	T
distance	mean	7	35	20	106	T	T
distance	sum	3	26	19	106	T	T
combined	coverage & geomean	18	42	40	106	T	T
combined	coverage & max	20	40	39	106	T	T
combined	coverage & mean	20	41	40	106	T	T
combined	coverage & sum	18	40	38	106	T	T
combined	flank mean & geomean	17	41	36	106	T	T
combined	flank mean & max	16	41	36	106	T	T
combined	flank mean & mean	16	41	36	106	T	T
combined	flank mean & sum	16	39	35	106	T	T
combined	flank median & geomean	15	44	35	106	T	T
combined	flank median & max	17	42	37	106	T	T
combined	flank median & mean	17	42	36	106	T	T
combined	flank median & sum	17	41	37	106	T	T
count	coverage	0	21	6	106	F	F
count	flank mean	0	17	0	106	F	F
count	flank median	0	18	0	106	F	F
distance	geomean	5	29	14	106	F	F
distance	max	13	38	30	106	F	F
distance	mean	9	34	25	106	F	F
distance	sum	6	29	20	106	F	F
combined	coverage & geomean	0	18	1	106	F	F
combined	coverage & max	0	21	7	106	F	F
combined	coverage & mean	0	21	4	106	F	F
combined	coverage & sum	0	21	8	106	F	F
combined	flank mean & geomean	0	18	0	106	F	F
combined	flank mean & max	0	20	1	106	F	F
combined	flank mean & mean	0	20	1	106	F	F
combined	flank mean & sum	0	21	2	106	F	F
combined	flank median & geomean	0	18	0	106	F	F
combined	flank median & max	0	21	1	106	F	F
combined	flank median & mean	0	20	1	106	F	F
combined	flank median & sum	0	20	1	106	F	F
count	coverage	17	38	39	106	T	F
count	flank mean	16	39	34	106	T	F
count	flank median	18	39	35	106	T	F
distance	geomean	6	26	18	106	T	F
distance	max	7	32	28	106	T	F
distance	mean	7	35	20	106	T	F
distance	sum	3	26	19	106	T	F
combined	coverage & geomean	18	42	40	106	T	F
combined	coverage & max	20	40	39	106	T	F
combined	coverage & mean	20	41	40	106	T	F
combined	coverage & sum	18	40	38	106	T	F
combined	flank mean & geomean	17	41	36	106	T	F
combined	flank mean & max	16	41	36	106	T	F
combined	flank mean & mean	16	41	36	106	T	F
combined	flank mean & sum	16	39	35	106	T	F
combined	flank median & geomean	15	44	35	106	T	F
combined	flank median & max	17	42	37	106	T	F
combined	flank median & mean	17	42	36	106	T	F
combined	flank median & sum	17	41	37	106	T	F
