Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,NumReadsYesMapRef,NumReadsYesMapGraph,NumReadsSpurious,TotalZnfReads,NumReadsNoMapGraph,NumReadsNoMapRef,PropReadsDiff,PropReadsDiffTotal,PropReadsNoMapRef,PropReadsNoMapGraph,PropReadsYesMapRef,PropReadsYesMapGraph,PropReadsSpuriousTotal
ga,none,A,allele-msa,nopath,100,0,-0.0482882277440057,-0.0690925804452213,67939,47482,67939,67939,27369,95308,0,0,0.698891652806194,0.49819532463172,0,0,0.712836278171822,0.712836278171822,0.287163721828178
ga,none,A,allele-msa,path,100,0,-0.0483494587497608,-0.0690435067681184,67939,47576,67939,67939,27369,95308,0,0,0.700275246912672,0.499181600705082,0,0,0.712836278171822,0.712836278171822,0.287163721828178
ga,none,A,allele-msa-dag,nopath,100,0,-0.0480285980556087,-0.0748209149824585,67939,43611,67939,67939,27369,95308,0,0,0.641914069974536,0.457579636546775,0,0,0.712836278171822,0.712836278171822,0.287163721828178
ga,none,A,allele-msa-dag,path,100,0,-0.0480285980556087,-0.0748209149824585,67939,43611,67939,67939,27369,95308,0,0,0.641914069974536,0.457579636546775,0,0,0.712836278171822,0.712836278171822,0.287163721828178
ga,none,A,stacked,nopath,100,0,-0.00484934093819456,-0.00864972495996219,67939,38089,67939,67939,27369,95308,0,0,0.560635275762081,0.399641163386075,0,0,0.712836278171822,0.712836278171822,0.287163721828178
ga,none,A,stacked,path,100,0,-0.00484934093819456,-0.00864972495996219,67939,38089,67939,67939,27369,95308,0,0,0.560635275762081,0.399641163386075,0,0,0.712836278171822,0.712836278171822,0.287163721828178
ga,none,A,znf-loop,nopath,100,0,0.00738833277204551,0.0224408056241059,67939,22368,67939,67939,27369,95308,0,0,0.329236520996777,0.234691736265581,0,0,0.712836278171822,0.712836278171822,0.287163721828178
ga,none,A,znf-loop,path,100,0,0.00738833277204551,0.0224408056241059,67939,22368,67939,67939,27369,95308,0,0,0.329236520996777,0.234691736265581,0,0,0.712836278171822,0.712836278171822,0.287163721828178
ga,none,A,znf-msa,nopath,100,0,0,0,6045,0,67939,6045,27369,95308,61894,0,0,0,0,0.649410332815713,0.712836278171822,0.0634259453561086,0.287163721828178
ga,none,A,znf-msa,path,100,0,0,0,6045,0,67939,6045,27369,95308,61894,0,0,0,0,0.649410332815713,0.712836278171822,0.0634259453561086,0.287163721828178
