Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,PropReadsDiff,NumReadsNoMapRef,NumReadsNoMapGraph
ga,none,A,allele-msa,nopath,100,0,-0.00180466833940668,-0.0718009255332161,2081774,52324,0.0251343325452234,0,0
ga,none,A,allele-msa,path,100,0,-0.00180666662226543,-0.0717515281182037,2081774,52418,0.0251794863419372,0,0
ga,none,A,allele-msa-dag,nopath,100,0,-0.00176385123615724,-0.0760377636267627,2081774,48291,0.0231970425223872,0,0
ga,none,A,allele-msa-dag,path,100,0,-0.00176385123615724,-0.0760377636267627,2081774,48291,0.0231970425223872,0,0
ga,none,A,stacked,nopath,100,0,-0.000522531496742682,-0.0229004122881624,2081774,47501,0.0228175584861757,0,0
ga,none,A,stacked,path,100,0,-0.000522531496742682,-0.0229004122881624,2081774,47501,0.0228175584861757,0,0
ga,none,A,znf-loop,nopath,100,0,0.000238097862784337,0.021611769792893,2081774,22935,0.011017046038619,0,0
ga,none,A,znf-loop,path,100,0,0.000238097862784337,0.021611769792893,2081774,22935,0.011017046038619,0,0
ga,none,A,znf-msa,nopath,100,0,0,0,2008374,0,0,0,73400
ga,none,A,znf-msa,path,100,0,0,0,2008374,0,0,0,73400
mg,none,A,allele-msa,nopath,100,0,-0.00125518031572342,-0.0103062684705431,855749,104220,0.121788047663509,0,21272
mg,none,A,allele-msa,path,100,0,-0.00115627404364153,-0.00965280309062491,849237,101727,0.119786349393632,0,27784
mg,none,A,allele-msa-dag,nopath,100,0,-0.00163706114220754,-0.0116113919239137,877021,123649,0.140987502009644,0,0
mg,none,A,allele-msa-dag,path,100,0,-0.00163706114220754,-0.0116113919239137,877021,123649,0.140987502009644,0,0
mg,none,A,stacked,nopath,100,0,-0.000824960291714794,-0.0065434340236954,877021,110570,0.126074518170032,0,0
mg,none,A,stacked,path,100,0,-0.000824960291714794,-0.0065434340236954,877021,110570,0.126074518170032,0,0
mg,none,A,znf-loop,nopath,100,0,-0.00114631166186443,-0.0108343327010949,877021,92792,0.105803623858494,0,0
mg,none,A,znf-loop,path,100,0,-0.00114631166186443,-0.0108343327010949,877021,92792,0.105803623858494,0,0
mg,none,A,znf-msa,nopath,100,0,-0.00082318570795161,-0.00759409803706547,841251,91190,0.108398088085482,0,35770
mg,none,A,znf-msa,path,100,0,-0.00082318570795161,-0.00759409803706547,841251,91190,0.108398088085482,0,35770
vg,fixedfrag,A,allele-msa-dag,nopath,100,0,-9.47549981000186e-05,-0.0156736858771374,2089494,12632,0.00604548278195582,0,19706
vg,fixedfrag,A,allele-msa-dag,path,100,0,3.97708199388929e-05,0.00818660940854968,2109084,10246,0.00485803315562585,0,0
vg,fixedfrag,A,stacked,nopath,100,0,4.8255262658828e-05,0.01,2109200,10178,0.0048255262658828,0,0
vg,fixedfrag,A,stacked,path,100,0,3.89837483950379e-05,0.00801677067082683,2109084,10256,0.00486277455046836,0,0
vg,fixedfrag,A,znf-loop,nopath,100,0,4.87920969182146e-05,0.00998233042112496,2084149,10187,0.00488784631041255,0,25051
vg,fixedfrag,A,znf-loop,path,100,0,4.39764371641907e-05,0.00906115670183666,2109084,10236,0.00485329176078335,0,0
vg,fixedfrag,A,znf-msa,nopath,100,0,4.8645802787727e-05,0.01,2083633,10136,0.0048645802787727,0,25567
vg,fixedfrag,A,znf-msa,path,100,0,4.03689301972686e-05,0.00834362442418896,2108800,10203,0.0048382966616085,0,284
vg,frag,A,allele-msa-dag,nopath,100,0,-9.47549981000186e-05,-0.0156736858771374,2089494,12632,0.00604548278195582,0,19706
vg,frag,A,allele-msa-dag,path,100,0,4.35628093787719e-05,0.00891933916423712,2106843,10290,0.00488408486061847,0,2352
vg,frag,A,stacked,nopath,100,0,4.8255262658828e-05,0.01,2109200,10178,0.0048255262658828,0,0
vg,frag,A,stacked,path,100,0,4.30634727014699e-05,0.00884825433976985,2106890,10254,0.00486688911143914,0,2305
vg,frag,A,znf-loop,nopath,100,0,4.87920969182146e-05,0.00998233042112496,2084149,10187,0.00488784631041255,0,25051
vg,frag,A,znf-loop,path,100,0,4.49907825614796e-05,0.00920112599495244,2106876,10302,0.00488970399776731,0,2319
vg,frag,A,znf-msa,nopath,100,0,4.8645802787727e-05,0.01,2083633,10136,0.0048645802787727,0,25567
vg,frag,A,znf-msa,path,100,0,4.81918673434702e-05,0.0100059142434697,2106372,10145,0.00481633823465181,0,2823
vg,none,A,allele-msa-dag,nopath,100,0,-9.08258171595611e-05,-0.0154922448979592,2089494,12250,0.00586266340080421,0,19706
vg,none,A,allele-msa-dag,path,100,0,4.46415858726419e-05,0.00916139086393299,2107004,10267,0.00487279568524787,0,2195
vg,none,A,stacked,nopath,100,0,4.8255262658828e-05,0.01,2109200,10178,0.0048255262658828,0,0
vg,none,A,stacked,path,100,0,4.43419096778603e-05,0.00912313250659115,2107036,10241,0.00486038207225695,0,2163
vg,none,A,znf-loop,nopath,100,0,4.87920969182146e-05,0.00998233042112496,2084149,10187,0.00488784631041255,0,25051
vg,none,A,znf-loop,path,100,0,4.46078552349565e-05,0.00910138471966689,2107028,10327,0.00490121631036702,0,2171
vg,none,A,znf-msa,nopath,100,0,4.8645802787727e-05,0.01,2083633,10136,0.0048645802787727,0,25567
vg,none,A,znf-msa,path,100,0,4.81431515868442e-05,0.01,2106634,10142,0.00481431515868442,0,2565
vg,fixedfrag,A,allele-msa,nopath,100,0,0,0,0,0,0,0,2109200
vg,fixedfrag,A,allele-msa,path,100,0,0,0,0,0,0,0,2109084
vg,frag,A,allele-msa,nopath,100,0,0,0,0,0,0,0,2109200
vg,frag,A,allele-msa,path,100,0,0,0,0,0,0,0,2109195
vg,none,A,allele-msa,nopath,100,0,0,0,0,0,0,0,2109200
vg,none,A,allele-msa,path,100,0,0,0,0,0,0,0,2109199
ga,none,B,allele-msa,nopath,100,0,-0.0018650664336049,-0.08962947987016,2072698,43130,0.0208086272095597,0,0
ga,none,B,allele-msa,path,100,0,-0.00186612922393904,-0.0895248769864599,2072698,43205,0.0208448119311159,0,0
ga,none,B,allele-msa-dag,nopath,100,0,-0.00188273993051569,-0.100307199478203,2072698,38904,0.0187697387656089,0,0
ga,none,B,allele-msa-dag,path,100,0,-0.00188273993051569,-0.100307199478203,2072698,38904,0.0187697387656089,0,0
ga,none,B,stacked,nopath,100,0,-0.000825188562154255,-0.0448750244634517,2072698,38114,0.018388593031884,0,0
ga,none,B,stacked,path,100,0,-0.000825188562154255,-0.0448750244634517,2072698,38114,0.018388593031884,0,0
ga,none,B,znf-loop,nopath,100,0,-0.000121566190540059,-0.0185422032526308,2072698,13589,0.00655618908302126,0,0
ga,none,B,znf-loop,path,100,0,-0.000121566190540059,-0.0185422032526308,2072698,13589,0.00655618908302126,0,0
ga,none,B,znf-msa,nopath,100,0,0,0,2008914,0,0,0,63784
ga,none,B,znf-msa,path,100,0,0,0,2008914,0,0,0,63784
mg,none,B,allele-msa,nopath,100,0,-0.00126191245986313,-0.0103938206517033,856133,103943,0.121409874400356,0,21058
mg,none,B,allele-msa,path,100,0,-0.00115766572830068,-0.00966232699769167,849704,101805,0.119812311110693,0,27487
mg,none,B,allele-msa-dag,nopath,100,0,-0.00162418720666309,-0.0116582716211019,877191,122207,0.139316294854826,0,0
mg,none,B,allele-msa-dag,path,100,0,-0.00162418720666309,-0.0116582716211019,877191,122207,0.139316294854826,0,0
mg,none,B,stacked,nopath,100,0,-0.000901848970178673,-0.00765710497023665,877191,103315,0.117779366181368,0,0
mg,none,B,stacked,path,100,0,-0.000901848970178673,-0.00765710497023665,877191,103315,0.117779366181368,0,0
mg,none,B,znf-loop,nopath,100,0,-0.00123013767811115,-0.0116988377765972,877191,92237,0.105150417639944,0,0
mg,none,B,znf-loop,path,100,0,-0.00123013767811115,-0.0116988377765972,877191,92237,0.105150417639944,0,0
mg,none,B,znf-msa,nopath,100,0,-0.000814672160069,-0.00758226116762495,841737,90440,0.107444486817141,0,35454
mg,none,B,znf-msa,path,100,0,-0.000814672160069,-0.00758226116762495,841737,90440,0.107444486817141,0,35454
vg,fixedfrag,B,allele-msa-dag,nopath,100,0,-0.000136042797744091,-0.119726200505476,2089269,2374,0.00113628259453426,0,19931
vg,fixedfrag,B,allele-msa-dag,path,100,0,-1.07345637305454e-05,-0.266352941176471,2109075,85,4.03020281402985e-05,0,0
vg,fixedfrag,B,stacked,nopath,100,0,0,0,2109200,0,0,0,0
vg,fixedfrag,B,stacked,path,100,0,-1.08388748622026e-05,-0.151390728476821,2109075,151,7.15953676374714e-05,0,0
vg,fixedfrag,B,znf-loop,nopath,100,0,-4.79856119940993e-08,-0.01,2083958,10,4.79856119940997e-06,0,25242
vg,fixedfrag,B,znf-loop,path,100,0,-4.19141092659104e-06,-0.157857142857143,2109075,56,2.65519244218437e-05,0,0
vg,fixedfrag,B,znf-msa,nopath,100,0,0,0,2083541,0,0,0,25659
vg,fixedfrag,B,znf-msa,path,100,0,-8.09478917508076e-06,-0.262615384615385,2108764,65,3.0823743197437e-05,0,311
vg,frag,B,allele-msa-dag,nopath,100,0,-0.000136042797744091,-0.119726200505476,2089269,2374,0.00113628259453426,0,19931
vg,frag,B,allele-msa-dag,path,100,0,-4.57519503904578e-06,-0.079016393442623,2107014,122,5.79018459298325e-05,0,2182
vg,frag,B,stacked,nopath,100,0,0,0,2109200,0,0,0,0
vg,frag,B,stacked,path,100,0,-5.89449984314555e-06,-0.130736842105263,2107049,95,4.5086754033722e-05,0,2147
vg,frag,B,znf-loop,nopath,100,0,-4.79856119940993e-08,-0.01,2083958,10,4.79856119940997e-06,0,25242
vg,frag,B,znf-loop,path,100,0,-1.85568116075467e-06,-0.0244375,2107043,160,7.59358019746156e-05,0,2153
vg,frag,B,znf-msa,nopath,100,0,0,0,2083541,0,0,0,25659
vg,frag,B,znf-msa,path,100,0,0,0,2106516,0,0,0,2680
vg,none,B,allele-msa-dag,nopath,100,0,-0.000131979175491524,-0.13933299646286,2089269,1979,0.000947221252983699,0,19931
vg,none,B,allele-msa-dag,path,100,0,-3.67306146351093e-06,-0.0823404255319149,2107234,94,4.46082399961276e-05,0,1965
vg,none,B,stacked,nopath,100,0,0,0,2109200,0,0,0,0
vg,none,B,stacked,path,100,0,-4.20923554682809e-06,-0.104352941176471,2107271,85,4.03365300428848e-05,0,1928
vg,none,B,znf-loop,nopath,100,0,-4.79856119940993e-08,-0.01,2083958,10,4.79856119940997e-06,0,25242
vg,none,B,znf-loop,path,100,0,-2.42020788162052e-06,-0.0326923076923077,2107257,156,7.40298881436863e-05,0,1942
vg,none,B,znf-msa,nopath,100,0,0,0,2083541,0,0,0,25659
vg,none,B,znf-msa,path,100,0,-1.89856715137086e-07,-0.4,2106852,1,4.74641787842715e-07,0,2347
vg,fixedfrag,B,allele-msa,nopath,100,0,0,0,0,0,0,0,2109200
vg,fixedfrag,B,allele-msa,path,100,0,0,0,0,0,0,0,2109075
vg,frag,B,allele-msa,nopath,100,0,0,0,0,0,0,0,2109200
vg,frag,B,allele-msa,path,100,0,0,0,0,0,0,0,2109196
vg,none,B,allele-msa,nopath,100,0,0,0,0,0,0,0,2109200
vg,none,B,allele-msa,path,100,0,0,0,0,0,0,0,2109199
ga,none,C,allele-msa,nopath,100,0,-0.00207754842838869,-0.0646018263690812,2097497,67454,0.0321592831837185,0,0
ga,none,C,allele-msa,path,100,0,-0.00207516389334526,-0.0645276787262431,2097497,67454,0.0321592831837185,0,0
ga,none,C,allele-msa-dag,nopath,100,0,-0.00201447495729434,-0.0668473663481466,2097497,63209,0.0301354423868068,0,0
ga,none,C,allele-msa-dag,path,100,0,-0.00201447495729434,-0.0668473663481466,2097497,63209,0.0301354423868068,0,0
ga,none,C,stacked,nopath,100,0,-0.000319678941805399,-0.0101843226871611,2097497,65839,0.0313893178393104,0,0
ga,none,C,stacked,path,100,0,-0.000319678941805399,-0.0101843226871611,2097497,65839,0.0313893178393104,0,0
ga,none,C,znf-loop,nopath,100,0,0.000866906303179456,0.0364922005739745,2097497,49828,0.0237559338583083,0,0
ga,none,C,znf-loop,path,100,0,0.000866906303179456,0.0364922005739745,2097497,49828,0.0237559338583083,0,0
ga,none,C,znf-msa,nopath,100,0,0,0,2008363,0,0,0,89134
ga,none,C,znf-msa,path,100,0,0,0,2008363,0,0,0,89134
mg,none,C,allele-msa,nopath,100,0,-0.000724454304654523,-0.0043381844013741,847176,141474,0.166994815717159,0,32054
mg,none,C,allele-msa,path,100,0,-0.000745730597541659,-0.00445514822022903,847238,141816,0.167386259823096,0,31992
mg,none,C,allele-msa-dag,nopath,100,0,-0.00120592313729058,-0.00639746462726642,879230,165735,0.18850016491703,0,0
mg,none,C,allele-msa-dag,path,100,0,-0.00120592313729058,-0.00639746462726642,879230,165735,0.18850016491703,0,0
mg,none,C,stacked,nopath,100,0,-0.000389940971076965,-0.00217416102275322,879230,157692,0.179352387884854,0,0
mg,none,C,stacked,path,100,0,-0.000389940971076965,-0.00217416102275322,879230,157692,0.179352387884854,0,0
mg,none,C,znf-loop,nopath,100,0,-0.000874487562981245,-0.00593474354521246,879230,129555,0.14735052261638,0,0
mg,none,C,znf-loop,path,100,0,-0.000874487562981245,-0.00593474354521246,879230,129555,0.14735052261638,0,0
mg,none,C,znf-msa,nopath,100,0,-0.000445845375593479,-0.00285744127119808,839751,131026,0.156029584960304,0,39479
mg,none,C,znf-msa,path,100,0,-0.000445845375593479,-0.00285744127119808,839751,131026,0.156029584960304,0,39479
vg,fixedfrag,C,allele-msa-dag,nopath,100,0,0.000218134403783444,0.0153855206967282,2097560,29739,0.0141779019432102,0,20040
vg,fixedfrag,C,allele-msa-dag,path,100,0,0.000354542406339581,0.0271123149151318,2117490,27690,0.0130768031962371,0,0
vg,fixedfrag,C,stacked,nopath,100,0,0.000350599735549679,0.027400996493818,2117600,27095,0.0127951454476766,0,0
vg,fixedfrag,C,stacked,path,100,0,0.000352374745571408,0.026792703508205,2117490,27849,0.013151892098664,0,0
vg,fixedfrag,C,znf-loop,nopath,100,0,0.000357504057875146,0.0271233274105233,2092228,27577,0.0131806858525935,0,25372
