Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,PropReadsDiff,NumReadsNoMapRef,NumReadsNoMapGraph
mg,none,A,allele-msa,nopath,100,0,-0.000537164855636103,-0.00239918924083065,1028512,230278,0.223894325005445,0,26088
mg,none,A,allele-msa,nopath,100,0.001,-0.000512456645093771,-0.00219260335083937,1028142,240298,0.233720633920217,1,26457
mg,none,A,allele-msa,nopath,100,0.01,-0.000333575328229973,-0.00124638320523852,1024815,274276,0.267634646253226,34,29739
mg,none,A,allele-msa,path,100,0,-0.000451833055686603,-0.00202941807455082,1021682,227469,0.222641683028574,0,32918
mg,none,A,allele-msa,path,100,0.001,-0.000434653532222981,-0.0018719491218159,1021538,237194,0.232193026593235,1,33061
mg,none,A,allele-msa,path,100,0.01,-0.000307264146596592,-0.00115855092928009,1020051,270532,0.265214190270879,34,34503
mg,none,A,allele-msa-dag,nopath,100,0,-0.000810130665655225,-0.00336185019772955,1054600,254135,0.240977621847146,0,0
mg,none,A,allele-msa-dag,nopath,100,0.001,-0.000798714959363624,-0.00319063932302517,1054597,263998,0.250330695042751,1,2
mg,none,A,allele-msa-dag,nopath,100,0.01,-0.000685175151532398,-0.00243116995890452,1054230,297113,0.281829392068145,34,324
mg,none,A,allele-msa-dag,path,100,0,-0.000810130665655225,-0.00336185019772955,1054600,254135,0.240977621847146,0,0
mg,none,A,allele-msa-dag,path,100,0.001,-0.000798714959363624,-0.00319063932302517,1054597,263998,0.250330695042751,1,2
mg,none,A,allele-msa-dag,path,100,0.01,-0.000685175151532398,-0.00243116995890452,1054230,297113,0.281829392068145,34,324
mg,none,A,stacked,nopath,100,0,2.62601934382704e-06,1.13976458967816e-05,1054600,242980,0.230400151716291,0,0
mg,none,A,stacked,nopath,100,0.001,1.83159665427332e-06,7.63740891136476e-06,1054599,252913,0.239819116081089,1,0
mg,none,A,stacked,nopath,100,0.01,3.89248188749384e-06,1.43077738195659e-05,1054520,286886,0.272053635777415,34,34
mg,none,A,stacked,path,100,0,2.62601934382704e-06,1.13976458967816e-05,1054600,242980,0.230400151716291,0,0
mg,none,A,stacked,path,100,0.001,1.83159665427332e-06,7.63740891136476e-06,1054599,252913,0.239819116081089,1,0
mg,none,A,stacked,path,100,0.01,3.89248188749384e-06,1.43077738195659e-05,1054520,286886,0.272053635777415,34,34
mg,none,A,znf-loop,nopath,100,0,-0.000792862879634819,-0.0049781347304498,1054599,167965,0.159269068148178,0,1
mg,none,A,znf-loop,nopath,100,0.001,-0.000775909209006655,-0.00474558830352379,1054598,172428,0.16350116347651,1,2
mg,none,A,znf-loop,nopath,100,0.01,-0.000608832333341553,-0.00343405447046173,1054342,186927,0.177292567307382,34,231
mg,none,A,znf-loop,path,100,0,-0.000792862879634819,-0.0049781347304498,1054599,167965,0.159269068148178,0,1
mg,none,A,znf-loop,path,100,0.001,-0.000775909209006655,-0.00474558830352379,1054598,172428,0.16350116347651,1,2
mg,none,A,znf-loop,path,100,0.01,-0.000608832333341553,-0.00343405447046173,1054342,186927,0.177292567307382,34,231
mg,none,A,znf-msa,nopath,100,0,-5.24988841610379e-05,-0.000249811920954885,1008210,211879,0.210153638626873,0,46390
mg,none,A,znf-msa,nopath,100,0.001,-4.93883356759057e-05,-0.000223338671116314,1008151,222939,0.221136516255997,1,46448
mg,none,A,znf-msa,nopath,100,0.01,-2.57295764748628e-05,-9.86232876712329e-05,1007331,262800,0.260887434219735,34,47223
mg,none,A,znf-msa,path,100,0,-5.24988841610379e-05,-0.000249811920954885,1008210,211879,0.210153638626873,0,46390
mg,none,A,znf-msa,path,100,0.001,-4.93883356759057e-05,-0.000223338671116314,1008151,222939,0.221136516255997,1,46448
mg,none,A,znf-msa,path,100,0.01,-2.57295764748628e-05,-9.86232876712329e-05,1007331,262800,0.260887434219735,34,47223
mg,none,B,allele-msa,nopath,100,0,-0.000542597735090545,-0.00242471278596528,1028827,230229,0.223778147346444,0,25773
mg,none,B,allele-msa,nopath,100,0.001,-0.000517646572662587,-0.00221676160258492,1028466,240162,0.233514768597115,0,26134
mg,none,B,allele-msa,nopath,100,0.01,-0.000325186146214889,-0.0012152485837398,1025135,274314,0.267588171314022,27,29426
mg,none,B,allele-msa,path,100,0,-0.00045463206741395,-0.00203989885687194,1022103,227796,0.222869906457568,0,32497
mg,none,B,allele-msa,path,100,0.001,-0.000437705107317765,-0.00188446531183122,1021965,237372,0.232270185378169,0,32635
mg,none,B,allele-msa,path,100,0.01,-0.000297408621139097,-0.00112120136251459,1020422,270676,0.265258883089545,27,34139
mg,none,B,allele-msa-dag,nopath,100,0,-0.000798794612928706,-0.00333227058223201,1054599,252803,0.23971481103244,0,1
mg,none,B,allele-msa-dag,nopath,100,0.001,-0.000786847854533869,-0.00316215579723952,1054596,262418,0.24883272836233,0,4
mg,none,B,allele-msa-dag,nopath,100,0.01,-0.000671845062620698,-0.00239009127566601,1054284,296355,0.281095985521928,27,277
mg,none,B,allele-msa-dag,path,100,0,-0.000798794612928706,-0.00333227058223201,1054599,252803,0.23971481103244,0,1
