Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,MeanDiffPos,MeanDiffNeg,NumReadsPos,NumReadsNeg,PropReadsDiff,PropPos,PropNeg,NumReadsNoMapRef,NumReadsNoMapGraph
mg,none,A,allele-msa,nopath,100,0,-0.000541701117731247,-0.00242210054515577,1028512,230026,0.0063519965822221,-0.0104651021139377,110013,120013,0.223649310849071,0.106963263432998,0.116686047416073,0,26088
mg,none,A,allele-msa,nopath,100,0.001,-0.000516798263274917,-0.00221292918186816,1028142,240108,0.00625295285833218,-0.010035437834546,115312,124796,0.233535834544256,0.112155713899442,0.121380120644814,1,26457
mg,none,A,allele-msa,nopath,100,0.01,-0.000336800690856398,-0.00125834739969741,1024815,274295,0.0067363963734643,-0.0088467183991359,133571,140724,0.267653186184824,0.130336694915668,0.137316491269156,34,29739
mg,none,A,allele-msa,path,100,0,-0.000451062463662862,-0.00202521797215581,1021682,227552,0.00634075529141524,-0.00981332671452574,109706,117846,0.222722921613574,0.107377833807388,0.115345087806186,0,32918
mg,none,A,allele-msa,path,100,0.001,-0.00043393667195934,-0.00186825528614959,1021538,237271,0.00623848946922815,-0.0094376644227478,114569,122702,0.232268403133315,0.112153439225951,0.120114963907363,1,33061
mg,none,A,allele-msa,path,100,0.01,-0.000307185523076787,-0.00115799337011674,1020051,270593,0.00666249704854103,-0.00852874187018133,131291,139302,0.265273991202401,0.128710231155109,0.136563760047292,34,34503
mg,none,A,allele-msa-dag,nopath,100,0,-0.000883181869903281,-0.00364821389402438,1054600,255304,0.00637901313935466,-0.0116806344884023,113552,141752,0.24208609899488,0.107673051393893,0.134413047600986,0,0
mg,none,A,allele-msa-dag,nopath,100,0.001,-0.000871554252477487,-0.00346421168081289,1054597,265324,0.00628048636175374,-0.0113059306066645,118307,147017,0.251588047377339,0.112182189025761,0.139405858351579,1,2
mg,none,A,allele-msa-dag,nopath,100,0.01,-0.000756523339309259,-0.00266720263794182,1054230,299021,0.00669405407806012,-0.0103826439726696,135101,163920,0.283639243808277,0.128151352171727,0.15548789163655,34,324
mg,none,A,allele-msa-dag,path,100,0,-0.000883181869903281,-0.00364821389402438,1054600,255304,0.00637901313935466,-0.0116806344884023,113552,141752,0.24208609899488,0.107673051393893,0.134413047600986,0,0
mg,none,A,allele-msa-dag,path,100,0.001,-0.000871554252477487,-0.00346421168081289,1054597,265324,0.00628048636175374,-0.0113059306066645,118307,147017,0.251588047377339,0.112182189025761,0.139405858351579,1,2
mg,none,A,allele-msa-dag,path,100,0.01,-0.000756523339309259,-0.00266720263794182,1054230,299021,0.00669405407806012,-0.0103826439726696,135101,163920,0.283639243808277,0.128151352171727,0.15548789163655,34,324
mg,none,A,stacked,nopath,100,0,-7.04251849042291e-05,-0.000313483032247172,1054600,236920,0.00667576699126176,-0.00749254489916405,120047,116873,0.224653897212213,0.113831784562867,0.110822112649346,0,0
mg,none,A,stacked,nopath,100,0.001,-7.10075583231162e-05,-0.000303410734616647,1054599,246809,0.0065326344977921,-0.00729345324920102,124779,122030,0.234031134108794,0.11831890604865,0.115712228060144,1,0
mg,none,A,stacked,nopath,100,0.01,-6.74735424648181e-05,-0.000253156621361987,1054520,281060,0.00664716224180412,-0.00718329565632867,140833,140227,0.266528847248037,0.133551758145886,0.132977089102151,34,34
mg,none,A,stacked,path,100,0,-7.04251849042291e-05,-0.000313483032247172,1054600,236920,0.00667576699126176,-0.00749254489916405,120047,116873,0.224653897212213,0.113831784562867,0.110822112649346,0,0
mg,none,A,stacked,path,100,0.001,-7.10075583231162e-05,-0.000303410734616647,1054599,246809,0.0065326344977921,-0.00729345324920102,124779,122030,0.234031134108794,0.11831890604865,0.115712228060144,1,0
mg,none,A,stacked,path,100,0.01,-6.74735424648181e-05,-0.000253156621361987,1054520,281060,0.00664716224180412,-0.00718329565632867,140833,140227,0.266528847248037,0.133551758145886,0.132977089102151,34,34
mg,none,A,znf-loop,nopath,100,0,-0.000865914153152051,-0.00544208173919262,1054599,167802,0.00587025652836339,-0.0111762698013578,56446,111356,0.159114507030634,0.053523661600286,0.105590845430348,0,1
mg,none,A,znf-loop,nopath,100,0.001,-0.000848748433052215,-0.00519566509554436,1054598,172276,0.00582314446681442,-0.0109506755383541,59107,113169,0.163357032727162,0.0560469486951426,0.10731008403202,1,2
mg,none,A,znf-loop,nopath,100,0.01,-0.000680073733190938,-0.00383510443131067,1054342,186965,0.006753538305885,-0.0103422172520099,71164,115801,0.177328608743652,0.067496125545601,0.109832483198051,34,231
mg,none,A,znf-loop,path,100,0,-0.000865914153152051,-0.00544208173919262,1054599,167802,0.00587025652836339,-0.0111762698013578,56446,111356,0.159114507030634,0.053523661600286,0.105590845430348,0,1
mg,none,A,znf-loop,path,100,0.001,-0.000848748433052215,-0.00519566509554436,1054598,172276,0.00582314446681442,-0.0109506755383541,59107,113169,0.163357032727162,0.0560469486951426,0.10731008403202,1,2
mg,none,A,znf-loop,path,100,0.01,-0.000680073733190938,-0.00383510443131067,1054342,186965,0.006753538305885,-0.0103422172520099,71164,115801,0.177328608743652,0.067496125545601,0.109832483198051,34,231
mg,none,A,znf-msa,nopath,100,0,-5.25596849862628e-05,-0.000249970281617057,1008210,211990,0.00647828266627563,-0.00738579399099914,109111,102879,0.210263734737803,0.108222493329763,0.10204124140804,0,46390
mg,none,A,znf-msa,nopath,100,0.001,-4.94753266127792e-05,-0.000223625725750409,1008151,223045,0.00636789237511567,-0.00718251043788422,114546,108499,0.221241659235571,0.113619884322884,0.107621774912687,1,46448
mg,none,A,znf-msa,nopath,100,0.01,-2.57560821616728e-05,-9.86967189728959e-05,1007331,262875,0.00674283047721855,-0.00714740842002827,133398,129477,0.260961888396168,0.132427176370031,0.128534712026136,34,47223
mg,none,A,znf-msa,path,100,0,-5.25596849862628e-05,-0.000249970281617057,1008210,211990,0.00647828266627563,-0.00738579399099914,109111,102879,0.210263734737803,0.108222493329763,0.10204124140804,0,46390
mg,none,A,znf-msa,path,100,0.001,-4.94753266127792e-05,-0.000223625725750409,1008151,223045,0.00636789237511567,-0.00718251043788422,114546,108499,0.221241659235571,0.113619884322884,0.107621774912687,1,46448
mg,none,A,znf-msa,path,100,0.01,-2.57560821616728e-05,-9.86967189728959e-05,1007331,262875,0.00674283047721855,-0.00714740842002827,133398,129477,0.260961888396168,0.132427176370031,0.128534712026136,34,47223
mg,none,B,allele-msa,nopath,100,0,-0.000542578101080162,-0.00242355132396421,1028827,230331,0.00633032676772261,-0.0104495726566856,110170,120161,0.22387728937907,0.107083115042665,0.116794174336404,0,25773
mg,none,B,allele-msa,nopath,100,0.001,-0.000517635974354038,-0.00221574748092747,1028466,240267,0.0062368264614638,-0.0100272149212375,115398,124869,0.233616862395062,0.112204000910093,0.121412861484969,0,26134
mg,none,B,allele-msa,nopath,100,0.01,-0.000325196876508948,-0.00121492993676998,1025135,274395,0.00675265143309604,-0.00880529233440551,133871,140524,0.267667185297546,0.130588654177255,0.137078531120291,27,29426
mg,none,B,allele-msa,path,100,0,-0.000454612304239397,-0.00203889722595196,1022103,227898,0.00631924848860077,-0.00981414039604967,109832,118066,0.222969700705311,0.107456880568788,0.115512820136522,0,32497
mg,none,B,allele-msa,path,100,0.001,-0.000437694441590465,-0.00188358619992673,1021965,237477,0.00622227583258444,-0.00944509457611668,114613,122864,0.2323729286228,0.112149633304467,0.120223295318333,0,32635
mg,none,B,allele-msa,path,100,0.01,-0.000297419400992923,-0.00112090656935924,1020422,270757,0.00667410494483786,-0.00849391354342592,131612,139145,0.265338262013167,0.12897801105817,0.136360250954997,27,34139
mg,none,B,allele-msa-dag,nopath,100,0,-0.000798790535549531,-0.00333088328911418,1054599,252907,0.00637360101919782,-0.0112717848618181,113815,139092,0.239813426714799,0.107922537381507,0.131890889333292,0,1
mg,none,B,allele-msa-dag,nopath,100,0.001,-0.000786910058448922,-0.00316112888726364,1054596,262524,0.00627690106365018,-0.0109217701854731,118460,144064,0.248933240786045,0.112327374653422,0.136605866132623,0,4
mg,none,B,allele-msa-dag,nopath,100,0.01,-0.000671809588308274,-0.00238934426782534,1054284,296432,0.00668370702320396,-0.0100234990464713,135451,160981,0.281169020871037,0.128476767170895,0.152692253700142,27,277
mg,none,B,allele-msa-dag,path,100,0,-0.000798790535549531,-0.00333088328911418,1054599,252907,0.00637360101919782,-0.0112717848618181,113815,139092,0.239813426714799,0.107922537381507,0.131890889333292,0,1
mg,none,B,allele-msa-dag,path,100,0.001,-0.000786910058448922,-0.00316112888726364,1054596,262524,0.00627690106365018,-0.0109217701854731,118460,144064,0.248933240786045,0.112327374653422,0.136605866132623,0,4
mg,none,B,allele-msa-dag,path,100,0.01,-0.000671809588308274,-0.00238934426782534,1054284,296432,0.00668370702320396,-0.0100234990464713,135451,160981,0.281169020871037,0.128476767170895,0.152692253700142,27,277
mg,none,B,stacked,nopath,100,0,-6.40811682154371e-05,-0.000286123154044167,1054600,236192,0.00668067778536797,-0.00748588253525492,120038,116154,0.223963588090271,0.113823250521525,0.110140337568746,0,0
mg,none,B,stacked,nopath,100,0.001,-6.40413426891713e-05,-0.000274857561452059,1054600,245720,0.00654123689004084,-0.00728896045449666,124619,121101,0.232998293191731,0.118167077564954,0.114831215626778,0,0
mg,none,B,stacked,nopath,100,0.01,-5.53506182416125e-05,-0.000208479776549083,1054523,279972,0.00665942703873292,-0.00720664161937247,141301,138671,0.265496342896267,0.133995180759452,0.131501162136814,27,36
mg,none,B,stacked,path,100,0,-6.40811682154371e-05,-0.000286123154044167,1054600,236192,0.00668067778536797,-0.00748588253525492,120038,116154,0.223963588090271,0.113823250521525,0.110140337568746,0,0
mg,none,B,stacked,path,100,0.001,-6.40413426891713e-05,-0.000274857561452059,1054600,245720,0.00654123689004084,-0.00728896045449666,124619,121101,0.232998293191731,0.118167077564954,0.114831215626778,0,0
mg,none,B,stacked,path,100,0.01,-5.53506182416125e-05,-0.000208479776549083,1054523,279972,0.00665942703873292,-0.00720664161937247,141301,138671,0.265496342896267,0.133995180759452,0.131501162136814,27,36
mg,none,B,znf-loop,nopath,100,0,-0.000862799924141855,-0.00543992347472573,1054600,167265,0.00585972723554829,-0.0111636373462072,56239,111026,0.158605158353878,0.0533273278968329,0.105277830457045,0,0
mg,none,B,znf-loop,nopath,100,0.001,-0.000847110702741042,-0.00520516285031754,1054599,171630,0.00581897572931205,-0.0109434264148269,58754,112876,0.162744322723613,0.0557121711664813,0.107032151557132,0,1
mg,none,B,znf-loop,nopath,100,0.01,-0.00068633346800887,-0.0038833607907743,1054386,186349,0.00674102389755358,-0.0103625686789454,70593,115756,0.176736982471315,0.0669517614991094,0.109785220972206,27,186
mg,none,B,znf-loop,path,100,0,-0.000862799924141855,-0.00543992347472573,1054600,167265,0.00585972723554829,-0.0111636373462072,56239,111026,0.158605158353878,0.0533273278968329,0.105277830457045,0,0
mg,none,B,znf-loop,path,100,0.001,-0.000847110702741042,-0.00520516285031754,1054599,171630,0.00581897572931205,-0.0109434264148269,58754,112876,0.162744322723613,0.0557121711664813,0.107032151557132,0,1
mg,none,B,znf-loop,path,100,0.01,-0.00068633346800887,-0.0038833607907743,1054386,186349,0.00674102389755358,-0.0103625686789454,70593,115756,0.176736982471315,0.0669517614991094,0.109785220972206,27,186
mg,none,B,znf-msa,nopath,100,0,-4.77416322596766e-05,-0.000227881639105289,1008516,211286,0.00647115439255763,-0.00738085847662481,109105,102181,0.209501881973117,0.108183707546534,0.101318174426583,0,46084
mg,none,B,znf-msa,nopath,100,0.001,-4.47217120894202e-05,-0.000203023768794454,1008452,222140,0.0063650628419599,-0.00717887975047807,114414,107726,0.220278208581073,0.11345507768342,0.106823130897653,0,46148
mg,none,B,znf-msa,nopath,100,0.01,-1.7719887226887e-05,-6.81049640521007e-05,1007687,262185,0.00675872448063222,-0.00716378917401078,133624,128561,0.260184958226116,0.132604667917717,0.127580290308399,27,46873
mg,none,B,znf-msa,path,100,0,-4.77416322596766e-05,-0.000227881639105289,1008516,211286,0.00647115439255763,-0.00738085847662481,109105,102181,0.209501881973117,0.108183707546534,0.101318174426583,0,46084
mg,none,B,znf-msa,path,100,0.001,-4.47217120894202e-05,-0.000203023768794454,1008452,222140,0.0063650628419599,-0.00717887975047807,114414,107726,0.220278208581073,0.11345507768342,0.106823130897653,0,46148
mg,none,B,znf-msa,path,100,0.01,-1.7719887226887e-05,-6.81049640521007e-05,1007687,262185,0.00675872448063222,-0.00716378917401078,133624,128561,0.260184958226116,0.132604667917717,0.127580290308399,27,46873
mg,none,C,allele-msa,nopath,100,0,-0.000301554171806771,-0.00138565226584608,1021380,222279,0.00721677848607059,-0.00945910085902411,107614,114665,0.217626152852024,0.105361373827567,0.112264779024457,0,37420
mg,none,C,allele-msa,nopath,100,0.001,-0.000289362416698815,-0.00127511887194622,1021294,231762,0.00707636389514041,-0.00914179647241192,112417,119345,0.226929757738712,0.110073103337531,0.116856654401181,1,37505
mg,none,C,allele-msa,nopath,100,0.01,-0.000173479228559383,-0.00066577060999334,1019910,265757,0.00735138187403055,-0.00844451973547641,130873,134884,0.260569069819886,0.128318184937887,0.132250884881999,29,38850
mg,none,C,allele-msa,path,100,0,-0.000325631704981781,-0.00149328990432749,1021442,222739,0.00721050509752805,-0.00959871503632927,107405,115334,0.218063287000143,0.10515036585533,0.112912921144813,0,37358
mg,none,C,allele-msa,path,100,0.001,-0.000311501010921873,-0.00137033208424861,1021345,232170,0.00707063761529207,-0.00926665499562336,112215,119955,0.227317899436527,0.109869828510445,0.117448070926083,1,37454
mg,none,C,allele-msa,path,100,0.01,-0.000182292549102661,-0.00069935301131854,1019904,265847,0.007350773690692,-0.00848892754052254,130737,135110,0.260658846322791,0.128185593938253,0.132473252384538,29,38856
