chromosome	position	type	base_depth	exact_kmer_count	inexact_kmer_count	sum_kmer_count
5	23516784	left	81	57	24	81
5	23516785	left	81	57	24	81
5	23516786	left	81	57	24	81
5	23516787	left	81	57	24	81
5	23516788	left	81	57	24	81
5	23516789	left	81	58	23	81
5	23516790	left	81	58	23	81
5	23516791	left	81	58	23	81
5	23516792	left	81	58	23	81
5	23516793	left	81	58	23	81
5	23516794	left	81	58	23	81
5	23516795	left	81	58	23	81
5	23516796	left	81	58	23	81
5	23516797	left	81	58	23	81
5	23516798	left	81	58	23	81
5	23516799	left	81	58	23	81
5	23516800	left	81	59	22	81
5	23516801	left	81	59	22	81
5	23516802	left	81	59	22	81
5	23516803	left	81	59	22	81
5	23516804	left	81	59	22	81
5	23516805	left	80	61	19	80
5	23516806	left	81	62	19	81
5	23516807	left	81	62	19	81
5	23516808	left	81	62	19	81
5	23516809	left	81	62	19	81
5	23516810	left	81	62	19	81
5	23516811	left	81	62	19	81
5	23516812	left	81	62	19	81
5	23516813	left	81	62	19	81
5	23516814	left	79	62	17	79
5	23516815	left	81	63	18	81
5	23516816	left	81	63	18	81
5	23516817	left	81	63	18	81
5	23516818	left	81	63	18	81
5	23516819	left	81	63	18	81
5	23516820	left	81	63	18	81
5	23516821	left	80	63	17	80
5	23516822	left	81	64	17	81
5	23516823	left	81	64	17	81
5	23516824	left	81	64	17	81
5	23516825	left	81	64	17	81
5	23516826	left	81	64	17	81
5	23516827	left	81	64	17	81
5	23516828	left	81	64	17	81
5	23516829	left	81	64	17	81
5	23516830	left	81	64	17	81
5	23516831	left	81	64	17	81
5	23516832	left	81	64	17	81
5	23516833	left	70	67	3	70
5	23516834	left	81	77	4	81
5	23516835	left	81	77	4	81
5	23516836	left	81	77	4	81
5	23516837	left	81	77	4	81
5	23516838	left	81	77	4	81
5	23516839	left	81	77	4	81
5	23516840	left	81	77	4	81
5	23516841	left	81	77	4	81
5	23516842	left	81	77	4	81
5	23516843	left	81	77	4	81
5	23516844	left	81	77	4	81
5	23516845	left	81	77	4	81
5	23516846	left	81	77	4	81
5	23516847	left	81	76	5	81
5	23516848	left	81	76	5	81
5	23516849	left	81	76	5	81
5	23516850	left	81	74	7	81
5	23516851	left	80	74	6	80
5	23516852	left	81	75	6	81
5	23516853	left	81	75	6	81
5	23516854	left	81	74	7	81
5	23516855	left	81	74	7	81
5	23516856	left	81	74	7	81
5	23516857	left	81	74	7	81
5	23516858	left	81	74	7	81
5	23516859	left	81	74	7	81
5	23516860	left	81	74	7	81
5	23516861	left	81	74	7	81
5	23516862	left	81	74	7	81
5	23516863	left	81	74	7	81
5	23516864	left	81	74	7	81
5	23516865	left	81	74	7	81
5	23516866	left	81	74	7	81
5	23516867	left	81	75	6	81
5	23516868	left	80	75	5	80
5	23516869	left	81	75	6	81
5	23516870	left	81	75	6	81
5	23516871	left	81	75	6	81
5	23516872	left	81	75	6	81
5	23516873	left	81	75	6	81
5	23516874	left	81	75	6	81
5	23516875	left	80	75	5	80
5	23516876	left	81	76	5	81
5	23516877	left	81	76	5	81
5	23516878	left	81	76	5	81
5	23516879	left	81	76	5	81
5	23516880	left	81	76	5	81
5	23516881	left	81	76	5	81
5	23516882	left	81	76	5	81
5	23516883	left	81	76	5	81
5	23516884	left	81	76	5	81
5	23516885	left	81	76	5	81
5	23516886	left	81	76	5	81
5	23516887	left	81	76	5	81
5	23516888	left	81	76	5	81
5	23516889	left	81	76	5	81
5	23516890	left	81	76	5	81
5	23516891	left	81	76	5	81
5	23516892	left	81	76	5	81
5	23516893	left	81	76	5	81
5	23516894	left	81	73	8	81
5	23516895	left	81	73	8	81
5	23516896	left	81	73	8	81
5	23516897	left	81	72	9	81
5	23516898	left	81	72	9	81
5	23516899	left	81	72	9	81
5	23516900	left	81	72	9	81
5	23516901	left	81	71	10	81
5	23516902	left	81	71	10	81
5	23516903	left	81	71	10	81
5	23516904	left	81	71	10	81
