chromosome	position	type	base_depth	exact_kmer_count	inexact_kmer_count	sum_kmer_count
5	23516784	left	40	13	11	24
5	23516785	left	40	12	11	23
5	23516786	left	40	12	11	23
5	23516787	left	40	12	11	23
5	23516788	left	40	12	11	23
5	23516789	left	40	12	11	23
5	23516790	left	40	12	11	23
5	23516791	left	40	12	11	23
5	23516792	left	40	11	11	22
5	23516793	left	40	11	11	22
5	23516794	left	40	11	11	22
5	23516795	left	40	11	11	22
5	23516796	left	40	11	10	21
5	23516797	left	40	11	10	21
5	23516798	left	40	11	10	21
5	23516799	left	40	10	11	21
5	23516800	left	40	10	11	21
5	23516801	left	41	9	13	22
5	23516802	left	41	9	13	22
5	23516803	left	41	9	13	22
5	23516804	left	40	9	13	22
5	23516805	left	42	10	12	22
5	23516806	left	42	10	12	22
5	23516807	left	42	8	13	21
5	23516808	left	41	8	13	21
5	23516809	left	41	8	13	21
5	23516810	left	42	8	13	21
5	23516811	left	42	8	13	21
5	23516812	left	42	8	13	21
5	23516813	left	41	8	13	21
5	23516814	left	38	8	11	19
5	23516815	left	39	8	12	20
5	23516816	left	39	8	12	20
5	23516817	left	39	8	12	20
5	23516818	left	39	8	12	20
5	23516819	left	39	9	11	20
5	23516820	left	39	9	11	20
5	23516821	left	39	10	10	20
5	23516822	left	39	10	9	19
5	23516823	left	39	10	9	19
5	23516824	left	39	10	8	18
5	23516825	left	37	10	8	18
5	23516826	left	37	10	8	18
5	23516827	left	37	10	8	18
5	23516828	left	37	10	8	18
5	23516829	left	36	10	8	18
5	23516830	left	36	10	8	18
5	23516831	left	36	10	8	18
5	23516832	left	35	10	8	18
5	23516833	left	33	11	5	16
5	23516834	left	36	13	6	19
5	23516835	left	35	13	6	19
5	23516836	left	35	13	6	19
5	23516837	left	36	14	5	19
5	23516838	left	35	14	5	19
5	23516839	left	38	15	7	22
5	23516840	left	37	15	6	21
5	23516841	left	37	16	5	21
5	23516842	left	37	16	5	21
5	23516843	left	37	16	5	21
5	23516844	left	38	15	7	22
5	23516845	left	39	16	7	23
5	23516846	left	38	16	7	23
5	23516847	left	37	17	6	23
5	23516848	left	36	17	6	23
5	23516849	left	36	17	7	24
5	23516850	left	35	17	7	24
5	23516851	left	35	16	8	24
5	23516852	left	35	16	8	24
5	23516853	left	35	14	10	24
5	23516854	left	34	15	9	24
5	23516855	left	33	15	9	24
5	23516856	left	34	16	9	25
5	23516857	left	34	16	9	25
5	23516858	left	34	16	9	25
5	23516859	left	35	17	9	26
5	23516860	left	35	17	9	26
5	23516861	left	36	18	9	27
5	23516862	left	35	18	9	27
5	23516863	left	35	18	9	27
5	23516864	left	36	18	10	28
5	23516865	left	35	18	10	28
5	23516866	left	37	19	11	30
5	23516867	left	37	19	11	30
5	23516868	left	37	19	11	30
5	23516869	left	37	19	11	30
5	23516870	left	37	20	10	30
5	23516871	left	35	20	10	30
5	23516872	left	35	20	10	30
5	23516873	left	35	20	10	30
5	23516874	left	35	21	9	30
5	23516875	left	34	21	9	30
5	23516876	left	35	22	9	31
5	23516877	left	34	22	9	31
5	23516878	left	34	22	9	31
5	23516879	left	34	22	9	31
5	23516880	left	33	22	9	31
5	23516881	left	33	21	8	29
5	23516882	left	33	21	8	29
5	23516883	left	33	21	8	29
5	23516884	left	32	21	8	29
5	23516885	left	32	21	8	29
5	23516886	left	33	20	9	29
5	23516887	left	33	19	10	29
5	23516888	left	34	19	11	30
5	23516889	left	34	19	11	30
5	23516890	left	34	18	12	30
5	23516891	left	34	19	11	30
5	23516892	left	34	19	11	30
5	23516893	left	35	19	10	29
5	23516894	left	35	18	11	29
5	23516895	left	35	18	11	29
5	23516896	left	35	18	11	29
5	23516897	left	35	18	10	28
5	23516898	left	37	21	9	30
5	23516899	left	37	21	8	29
5	23516900	left	37	21	8	29
5	23516901	left	37	21	8	29
5	23516902	left	37	21	8	29
5	23516903	left	37	21	8	29
5	23516904	left	37	21	8	29
5	23516905	left	37	21	8	29
5	23516906	left	37	0	29	29
5	23516907	left	37	0	29	29
5	23516908	left	37	0	29	29
5	23516909	left	37	0	29	29
5	23516910	left	37	0	29	29
5	23516911	left	37	0	29	29
5	23516912	left	37	0	29	29
5	23516913	left	37	0	29	29
5	23516914	left	37	0	29	29
5	23516915	left	37	0	29	29
5	23516916	left	37	0	28	28
5	23516917	left	37	0	28	28
5	23516918	left	37	0	28	28
5	23516919	left	37	0	28	28
5	23516920	left	37	0	28	28
5	23516921	left	37	0	28	28
5	23516922	left	37	0	28	28
5	23516923	left	37	0	28	28
5	23516924	left	37	0	28	28
5	23516925	left	37	0	28	28
5	23516926	left	37	0	28	28
5	23516927	left	37	0	28	28
5	23516928	left	37	0	28	28
5	23516929	left	37	0	28	28
5	23516930	left	37	0	26	26
5	23516931	left	37	0	26	26
5	23516932	left	37	0	26	26
5	23516933	left	37	0	26	26
5	23516934	left	37	0	26	26
5	23516935	left	37	0	26	26
5	23516936	left	37	0	26	26
5	23516937	left	37	0	26	26
5	23516938	left	37	0	25	25
5	23516939	left	37	0	25	25
5	23516940	left	37	0	25	25
5	23516941	left	37	0	25	25
5	23516942	left	37	0	25	25
5	23516943	left	37	0	24	24
5	23516944	left	37	0	24	24
5	23516945	left	37	0	24	24
5	23516946	left	37	0	24	24
5	23516947	left	37	0	24	24
5	23516948	left	37	0	23	23
5	23516949	left	37	0	22	22
5	23516950	left	37	0	22	22
5	23516951	left	36	0	23	23
5	23516952	left	36	0	23	23
5	23516953	left	36	0	23	23
5	23516954	left	36	0	23	23
5	23516955	left	36	0	23	23
5	23516956	left	35	0	21	21
5	23516957	left	35	0	21	21
5	23516958	left	36	0	22	22
5	23516959	left	36	0	22	22
5	23516960	left	36	0	22	22
5	23516961	left	38	0	24	24
5	23516962	left	38	0	24	24
5	23516963	left	36	0	24	24
5	23516964	left	36	0	24	24
5	23516965	left	36	0	24	24
5	23516966	left	36	0	24	24
5	23516967	left	35	0	24	24
5	23516968	left	35	0	24	24
5	23516969	left	34	0	24	24
5	23516970	left	34	0	24	24
5	23516971	left	34	0	24	24
5	23516972	left	34	0	24	24
5	23516973	left	34	0	24	24
5	23516974	left	34	0	24	24
5	23516975	left	34	0	24	24
5	23516976	left	33	0	24	24
5	23516977	left	35	21	5	26
5	23516978	left	35	21	5	26
5	23516979	left	35	21	5	26
5	23516980	left	35	20	5	25
